Date,Q,TS,TVS,Alkalinity,VFA,Biogas
1/1/2008,240,46.26,33.15,787.00,244.36,2113
1/2/2008,120,44.77,22.02,983.00,413.54,1754
1/3/2008,200,44.45,22.61,740.00,378.60,1884
1/4/2008,160,44.31,26.64,761.00,353.66,1768
1/5/2008,200,50.58,23.23,748.00,343.96,1715
1/6/2008,140,47.96,23.35,759.00,311.76,1387
1/7/2008,240,50.12,24.83,790.00,309.85,1757
1/8/2008,200,49.93,24.30,734.00,331.69,1863
1/9/2008,120,50.18,23.50,808.00,337.63,1516
1/10/2008,160,55.09,22.08,918.00,501.60,1562
1/11/2008,140,42.91,20.03,914.00,512.35,1309
1/12/2008,110,40.41,19.60,850.00,311.41,1183
1/18/2008,70,50.00,13.46,892.00,463.80,608
4/1/2008,80,43.58,16.01,1317.00,516.42,962
4/3/2008,100,87.22,29.07,1408.00,421.51,1140
4/4/2008,80,59.63,27.02,1386.00,764.35,1271
4/6/2008,100,38.79,15.43,1491.00,697.46,1248
4/8/2008,170,45.44,23.08,818.00,163.65,1696
4/11/2008,220,58.74,29.15,1481.00,325.07,2217
4/12/2008,250,65.85,31.08,1423.00,297.12,2649
4/13/2008,160,46.99,21.73,1593.00,478.41,1998
4/14/2008,170,56.29,27.31,1454.00,831.08,1599
4/15/2008,330,50.69,24.87,1450.00,676.35,2009
4/16/2008,340,43.10,16.41,1910.00,495.66,2902
4/17/2008,370,58.28,28.30,1195.56,695.23,3686
4/18/2008,310,57.94,27.64,1189.00,547.95,3368
4/19/2008,329,60.18,29.92,1193.00,558.21,3039
4/21/2008,400,48.06,24.30,1308.00,230.66,2090
4/22/2008,420,37.87,17.31,1343.00,449.15,4488
4/24/2008,520,57.44,23.80,3061.11,1835.34,4429
4/25/2008,550,57.14,26.90,1044.00,646.19,4402
4/26/2008,550,49.41,24.43,1041.00,609.60,4558
4/27/2008,570,46.63,22.70,1117.00,610.18,4828
4/28/2008,590,48.44,23.53,931.00,492.92,5367
4/29/2008,610,39.75,19.69,1104.00,645.12,5217
4/30/2008,610,39.01,19.49,1025.00,529.16,4242
5/1/2008,690,46.26,23.33,1100.00,718.63,5478
5/2/2008,690,43.62,21.86,815.56,415.10,5094
5/3/2008,740,38.25,19.49,810.00,427.11,4995
5/8/2008,640,54.66,25.62,847.00,356.25,4371
5/9/2008,640,52.53,24.93,883.33,469.30,4895
5/10/2008,650,46.71,22.72,822.00,465.49,4613
5/11/2008,660,53.35,26.67,819.00,373.73,4480
5/12/2008,660,26.21,12.25,765.00,245.72,4049
5/13/2008,660,47.51,23.35,1047.78,552.56,5143
5/14/2008,690,53.02,26.01,1143.33,514.57,5812
5/16/2008,690,59.98,30.73,1281.25,867.99,7112
5/17/2008,690,50.84,25.05,1237.50,729.50,7132
5/18/2008,690,35.42,14.84,1171.25,546.42,6839
5/19/2008,740,54.06,25.85,891.00,521.65,7546
5/22/2008,770,50.00,22.02,996.00,504.68,7006
5/23/2008,800,52.51,24.48,802.00,372.15,6392
5/24/2008,850,49.36,23.02,954.00,486.25,5243
5/25/2008,850,41.69,18.52,1013.00,479.99,6735
5/26/2008,900,67.70,30.68,1301.00,785.34,6300
5/27/2008,960,61.50,28.06,988.00,644.39,6752
5/28/2008,980,58.97,27.88,1113.00,628.81,6254
5/29/2008,1030,24.26,10.37,1051.00,619.49,5464
5/30/2008,1070,39.93,15.73,1218.00,603.95,5769
6/1/2008,1180,31.77,14.42,887.00,408.95,5247
6/2/2008,1170,38.43,18.10,880.00,446.15,5380
6/3/2008,720,43.33,20.81,857.00,268.95,5294
6/5/2008,560,32.55,15.98,790.00,162.75,4823
6/6/2008,440,46.32,22.09,1219.00,514.58,3698
6/7/2008,480,46.34,23.26,1293.00,601.96,3724
6/8/2008,440,21.57,9.13,1118.00,620.62,3757
6/9/2008,540,55.54,26.83,965.00,354.23,4660
6/10/2008,280,48.44,20.38,1160.00,463.05,3353
6/11/2008,700,36.29,16.96,873.00,233.81,4519
6/13/2008,720,59.70,26.39,1060.00,448.20,5217
6/14/2008,720,59.55,27.21,1047.00,430.61,4583
6/15/2008,720,48.27,21.50,1035.00,412.96,4207
6/16/2008,720,13.09,4.17,654.00,215.78,4334
6/17/2008,720,45.37,19.73,1133.00,469.97,4814
6/18/2008,720,65.42,30.61,1283.00,529.03,4019
6/19/2008,800,17.77,6.58,591.00,119.84,3686
6/21/2008,880,14.24,4.92,1025.00,187.67,3035
6/22/2008,640,16.84,6.14,985.00,444.94,2277
6/23/2008,360,46.95,13.29,1618.00,876.14,2510
6/24/2008,800,58.41,25.16,1191.11,464.93,3941
6/26/2008,880,59.84,27.20,1319.00,534.69,6224
6/27/2008,960,37.66,16.38,694.79,82.69,4642
6/28/2008,1040,38.00,16.61,1307.00,527.55,7838
6/30/2008,1120,38.44,18.03,905.00,223.96,5875
7/1/2008,1200,30.05,13.09,809.00,140.56,5324
7/2/2008,1280,30.62,15.22,801.00,138.43,5232
7/3/2008,1360,130.08,49.29,583.00,104.58,4823
7/4/2008,1440,17.18,7.59,576.00,78.74,4778
7/5/2008,1450,33.09,15.60,985.00,634.07,4773
7/6/2008,1600,32.52,14.91,813.00,339.95,5739
7/7/2008,1070,16.61,6.85,560.00,253.09,3694
7/8/2008,1600,15.82,6.26,663.00,141.68,6143
7/9/2008,1380,37.47,18.15,815.00,197.98,7205
7/10/2008,1600,48.11,22.54,2968.75,1277.91,9231
7/11/2008,1600,34.70,17.51,653.26,357.33,10411
7/12/2008,1600,55.94,26.67,586.00,314.53,10262
7/13/2008,1600,29.52,11.41,637.00,335.03,9122
7/14/2008,1440,36.90,17.73,822.00,242.21,8869
7/15/2008,1440,34.77,16.17,782.29,225.06,8579
7/16/2008,1120,41.05,18.96,733.33,207.10,8439
7/23/2008,970,72.50,34.46,1094.00,333.15,8576
7/24/2008,1200,55.82,26.15,992.00,418.24,7328
7/25/2008,1200,54.22,24.52,922.22,355.99,8099
7/26/2008,1200,53.23,24.82,890.00,334.63,8153
7/27/2008,1200,28.35,12.93,603.00,226.80,7277
7/28/2008,1200,28.35,12.93,603.00,226.80,6890
7/30/2008,1170,31.94,12.76,744.44,314.41,6158
7/31/2008,1200,36.62,17.19,814.00,237.45,5615
8/2/2008,1060,57.84,28.89,1263.33,580.15,6400
8/3/2008,1080,50.36,24.65,1130.00,541.08,6830
8/4/2008,1080,49.28,25.68,710.53,183.54,7641
8/5/2008,890,39.25,19.65,758.00,293.43,5731
8/9/2008,1080,48.15,24.70,861.00,258.19,5663
8/10/2008,1080,22.98,13.99,854.00,261.25,5732
8/11/2008,400,50.81,26.21,1109.78,323.50,4914
8/12/2008,400,53.23,26.54,1211.11,536.66,4294
8/13/2008,260,52.63,26.52,1329.17,826.18,2915
8/16/2008,540,51.32,24.80,1286.00,699.58,5144
8/17/2008,470,31.55,13.93,1061.00,353.57,5639
8/19/2008,500,57.88,29.16,1035.00,420.84,841
8/20/2008,370,56.02,27.29,1185.00,508.79,3821
8/21/2008,560,43.92,20.59,1160.00,294.94,4118
8/22/2008,560,60.56,30.73,1167.00,336.53,4977
8/24/2008,560,68.68,31.99,1208.70,488.72,5434
8/25/2008,560,52.46,26.57,1112.00,502.78,5601
8/28/2008,380,54.34,36.04,1101.00,372.12,4983
8/29/2008,600,41.05,24.34,1169.00,425.72,5194
8/30/2008,600,79.74,16.99,1157.00,405.45,4260
8/31/2008,600,49.31,23.13,1252.08,321.99,4360
9/4/2008,590,54.55,28.83,1077.00,321.06,3764
9/5/2008,450,30.73,11.52,819.00,189.86,4576
9/6/2008,450,42.42,23.32,994.90,238.04,4576
9/7/2008,600,56.12,29.42,930.00,217.17,4616
9/8/2008,70,49.57,27.55,913.00,312.78,4560
9/18/2008,240,19.11,9.70,655.00,118.53,1480
9/19/2008,260,40.94,20.75,882.00,188.60,1190
9/20/2008,280,47.20,20.57,970.00,283.00,1951
9/21/2008,240,39.22,14.36,1022.00,295.56,1720
9/22/2008,390,38.42,17.34,483.00,176.41,1629
9/23/2008,460,26.57,11.75,472.00,174.46,1876
9/29/2008,560,64.00,28.00,630.00,474.69,3352
9/30/2008,610,51.43,23.74,612.00,207.86,3643
10/2/2008,710,39.26,16.08,637.00,332.41,4800
10/3/2008,770,50.92,22.95,769.79,329.81,3995
10/4/2008,430,58.59,24.96,602.00,226.86,4175
10/5/2008,820,37.63,12.04,668.00,220.17,3781
10/6/2008,890,26.92,12.44,610.00,231.63,2902
10/7/2008,840,41.32,20.14,657.61,271.41,3362
10/8/2008,720,32.18,15.34,648.00,218.78,4194
10/9/2008,700,40.98,21.65,589.00,246.05,4726
10/10/2008,780,40.50,19.51,570.00,226.21,4807
10/11/2008,800,40.88,19.15,541.00,243.76,4067
10/12/2008,800,24.37,11.70,654.00,260.44,4228
10/13/2008,780,39.03,19.47,651.00,268.50,3323
10/14/2008,460,25.86,7.77,914.00,231.29,3209
10/15/2008,760,38.93,16.20,804.00,235.44,3769
10/16/2008,800,38.80,19.11,531.00,268.01,4413
10/17/2008,800,35.33,15.55,947.00,302.80,5089
10/18/2008,1000,48.04,23.25,920.00,309.72,6729
10/19/2008,700,29.83,14.45,745.00,260.08,6434
